SITE_ID,SITE_NAME,STATE,IGBP,LAT,LON,ELEV,KOEPPEN,MAT,MAP,TOWER_BEGAN,TOWER_END,URL,DIST_COAST_KM,COASTAL_STATE,TIDAL_IGBP,ACTIVE
US-KS4,Kennedy Space Center (Spartina marsh),FL,WET,28.6,-80.7207,0.5,Cwa,22.3,1340,2017,,https://ameriflux.lbl.gov/sites/siteinfo/US-KS4,0.088,True,True,True
US-Nrs,Nisqually restoring,WA,WET,47.0936,-122.7079,8,Csb,10.3,1269,2017,,https://ameriflux.lbl.gov/sites/siteinfo/US-Nrs,0.163,True,True,True
US-GCE,Georgia Coastal Ecosystems LTER Flux Tower,GA,WET,31.4441,-81.2835,0.625,Cfa,19.83,1284,2013,,https://ameriflux.lbl.gov/sites/siteinfo/US-GCE,0.174,True,True,True
US-HRP,Herring River Phragmites,MA,WET,41.938,-70.0552,0.5,Dfb,9.9,1195,2017,2022,https://ameriflux.lbl.gov/sites/siteinfo/US-HRP,0.414,True,True,True
US-TaS,Taylor Slough/Panhandle,FL,WET,25.1908,-80.6391,3,Cwa,23.7,986.8,2016,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-TaS,0.516,True,True,True
US-AC3,ARM-CRG-Bay,MD,WAT,38.838,-76.37,3,Cfa,,,2024,,https://ameriflux.lbl.gov/sites/siteinfo/US-AC3,0.525,True,True,True
US-PHM,Plum Island High Marsh,MA,WET,42.7423,-70.8301,1.4,Dfa,7.2,1262,2013,,https://ameriflux.lbl.gov/sites/siteinfo/US-PHM,0.607,True,True,True
US-RRC,Rice Rivers Center Marsh,VA,WET,37.3344,-77.2065,0.1,Dfa,15.4,1117,2017,,https://ameriflux.lbl.gov/sites/siteinfo/US-RRC,0.624,True,True,True
US-Tw4,Twitchell East End Wetland,CA,WET,38.1027,-121.6413,-5,Csa,15.6,421,2013,,https://ameriflux.lbl.gov/sites/siteinfo/US-Tw4,0.646,True,True,True
US-Nrf,Nisqually reference,WA,WET,47.0935,-122.6927,8,Csb,10.3,1269,2017,,https://ameriflux.lbl.gov/sites/siteinfo/US-Nrf,0.769,True,True,True
US-Tw5,East Pond Wetland,CA,WET,38.1072,-121.6426,-5,Csa,15.5,421,2018,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-Tw5,1.02,True,True,True
US-KS3,Kennedy Space Center (salt marsh),FL,WET,28.7084,-80.7427,0,Cfa,22.3,1340,2017,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-KS3,1.169,True,True,True
US-Tw1,Twitchell Wetland West Pond,CA,WET,38.1074,-121.6469,-5,Csa,15.5,421,2012,2023,https://ameriflux.lbl.gov/sites/siteinfo/US-Tw1,1.344,True,True,True
US-PLM,Plum Island Low Marsh,MA,WET,42.7345,-70.8382,1,Dfa,8.7,1262,2015,,https://ameriflux.lbl.gov/sites/siteinfo/US-PLM,1.347,True,True,True
US-VFP,Virginia Coast Reserve Fowling Point,VA,WET,37.4111,-75.8333,1,Cfa,14.05,1023.3,2014,,https://ameriflux.lbl.gov/sites/siteinfo/US-VFP,1.353,True,True,True
US-BSM,Barnstable Great Marsh,MA,WET,41.7297,-70.3644,0.5,Dfb,9.9,1195,2017,,https://ameriflux.lbl.gov/sites/siteinfo/US-BSM,1.416,True,True,True
US-StS,Strawberry Swamp,SC,WET,33.3302,-79.2492,0,Cfa,18.1,1300,2015,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-StS,1.579,True,True,False
US-HRo,Herring River Old County,MA,WET,41.9601,-70.0563,0.406,Dfb,9.9,1195,2021,,https://ameriflux.lbl.gov/sites/siteinfo/US-HRo,1.614,True,True,True
US-Myb,Mayberry Wetland,CA,WET,38.0499,-121.765,-4,Csa,15.9,338,2010,,https://ameriflux.lbl.gov/sites/siteinfo/US-Myb,1.664,True,True,True
US-LCW,Los Cerritos Wetland,CA,WET,33.7522,-118.0971,0,Csa,18.28,305,2025,,https://ameriflux.lbl.gov/sites/siteinfo/US-LCW,1.755,True,True,True
