,gini,permutation_LSO
SAVI,0.018505378033986948,0.0015592186321890138
EVI2,0.01862147604978962,0.0015917253263756754
NDVI,0.014752518905415053,0.001602111564466255
LAI,0.021307638807127067,0.0021344990958367754
MNDWI,0.025928080697337347,0.005408361037829718
LST_K,0.03843009019523305,0.008855534807470188
TA_ERA,0.025539940502226004,0.012033903298171332
VPD_ERA,0.029644078915117993,0.013738935710761565
DOY_sin,0.021948082914621907,0.01798502156837512
NDWI,0.0340953359645833,0.02273295528216353
SW_IN_ERA,0.10509209468482339,0.04090290800729664
WS_ERA,0.04770042875364059,0.0888060576819963
DOY_cos,0.2669588582481911,0.14281191555228323
ETo_mm,0.3314759973279066,0.22680846894694093
