model,features,n_feat,kfold,leave_year,leave_site,leave_site_MAE
Ridge,full14,14,0.745,0.778,0.662,0.9
Ridge,pruned,11,0.728,0.779,0.63,0.95
ElasticNet,full14,14,0.732,0.788,0.648,0.92
ElasticNet,pruned,11,0.726,0.789,0.64,0.93
PLS,full14,14,0.731,0.616,0.643,0.93
PLS,pruned,11,0.726,0.643,0.625,0.95
kNN,full14,14,0.803,0.762,0.689,0.85
kNN,pruned,11,0.802,0.772,0.71,0.83
SVR,full14,14,0.814,0.777,0.664,0.89
SVR,pruned,11,0.81,0.777,0.652,0.9
GaussProc,full14,14,0.82,0.81,0.661,0.89
GaussProc,pruned,11,0.817,0.812,0.671,0.88
RandomForest,full14,14,0.799,0.774,0.708,0.83
RandomForest,pruned,11,0.797,0.779,0.715,0.82
ExtraTrees,full14,14,0.806,0.784,0.715,0.82
ExtraTrees,pruned,11,0.801,0.79,0.721,0.81
GradBoost,full14,14,0.797,0.749,0.676,0.86
GradBoost,pruned,11,0.799,0.752,0.682,0.85
HistGBM,full14,14,0.805,0.664,0.678,0.86
HistGBM,pruned,11,0.802,0.665,0.682,0.87
XGBoost,full14,14,0.812,0.774,0.692,0.84
XGBoost,pruned,11,0.814,0.771,0.686,0.86
LightGBM,full14,14,0.802,0.668,0.689,0.85
LightGBM,pruned,11,0.805,0.67,0.687,0.86
