model,random_CV,leave_year,leave_tower,family
GaussProc,0.5892992379719294,0.4987429057698824,-0.5788928820424755,GP
Ridge,0.4587113598817315,0.492118788260959,-0.7996406954840589,linear
ElasticNet,0.4456169952377506,0.4886247526869828,-0.7607364540825718,linear
ExtraTrees,0.5106146057532426,0.459598271095691,-0.3689536192125571,trees
kNN(10),0.4430272173730589,0.429875147707585,-0.4621696967041957,kernel
RandomForest,0.4927414908717707,0.4230594164491345,-0.4804888458704881,trees
SVR(rbf),0.583645842311886,0.417587084736373,-0.4838430863809739,kernel
XGBoost,0.5269674624620074,0.4063020689841117,-0.5707647190780449,trees
GradBoost,0.5096288476776674,0.3773495738591348,-0.6718934557526124,trees
LightGBM,0.570146669210611,0.2681322718482851,-0.5696734721865917,trees
HistGBM,0.5405130257431481,0.2317555410958642,-0.6178742514349245,trees
PLS(5),0.4294226144252313,-1.0195394146689307,-0.9882167835500396,linear
MLP-shallow,0.478,-16.515,-0.381,deep
MLP-deep,0.378,-0.81,-0.624,deep
MLP-ensemble,0.434,0.075,-0.471,deep
