model,kfold,leave_year,leave_site
ExtraTrees,0.8057735061318743,0.7836001115805642,0.7151098004058873
RandomForest,0.7929691093899329,0.7701599323901067,0.7050190793825297
XGBoost,0.8118322656925675,0.7739972483183128,0.6915401835363825
LightGBM,0.8021105805406327,0.6677673005671281,0.6890173370135736
kNN,0.8031201012510376,0.7616805108242731,0.6887868452941108
GradBoost,0.796933217797997,0.7493454268041824,0.6757520385086712
HistGBM,0.7995738335853582,0.6543961236107576,0.664382827384418
SVR,0.8142027698610519,0.7768511774331489,0.6636565318514887
Ridge,0.7453494764333197,0.7780833676924616,0.661720946562244
GaussProc,0.8199064615923002,0.809574623540317,0.6612328969110806
ElasticNet,0.7322196449333749,0.7876864467968745,0.6478160223214795
PLS,0.7345634976259281,0.6339610036468148,0.6367602292638268
MLP-ensemble,0.7863905447051576,-2.358198782340043,0.5985115478558877
